layer,num_tensors,num_files,avg_cosine,min_cosine,max_cosine,std_cosine,median_cosine,pct_over_999,pct_over_99,pct_under_99,other_avg,norm_avg,mlp_avg,attention_avg
0,20,1,0.9996292203664779,0.9980725646018982,0.9999985098838806,0.0006119907496690663,0.9999824166297913,80.0,100.0,0.0,0.9999203234910965,0.9997420459985733,0.9991844097773234,0.9995735883712769
1,20,1,0.9989766120910645,0.9903903007507324,0.9999986290931702,0.0022178277553441305,0.9999907314777374,75.0,100.0,0.0,0.9995833188295364,0.9997343271970749,0.9976223508516947,0.9990971386432648
2,20,1,0.9990159511566162,0.9929412007331848,0.9999990463256836,0.0017620907613764053,0.9999900460243225,70.0,100.0,0.0,0.9995375871658325,0.9998088777065277,0.9977364937464396,0.9991819262504578
3,1555,4,0.9982078798330866,0.8677070140838623,0.9999996423721313,0.006070599199573806,0.9991968870162964,56.334405144694536,97.49196141479099,2.508038585209003,0.9991089642047882,0.9999067783355713,0.9981959232887407,0.9995052218437195
4,1556,3,0.9993023148385909,0.9881821274757385,0.9999997019767761,0.0009185372862115442,0.9999454021453857,64.91002570694087,99.80719794344472,0.1928020565552699,0.9991210699081421,0.9999827295541763,0.9993014035673885,0.999549388885498
5,1555,4,0.999532488726343,0.9978042244911194,0.9999995231628418,0.00047517605452137863,0.999944269657135,85.20900321543408,100.0,0.0,0.9995990514755249,0.9999577552080154,0.9995309610258449,0.9995184540748596
6,1555,4,0.9996133153461567,0.9982849955558777,0.9999992847442627,0.0003856961239128146,0.999944269657135,96.52733118971061,100.0,0.0,0.9996947884559632,0.9999148398637772,0.9996118269003855,0.9997482597827911
7,1556,3,0.9996696727441332,0.998795211315155,0.999998927116394,0.0003240605311835928,0.999962329864502,99.293059125964,100.0,0.0,0.9998930931091309,0.9999715834856033,0.9996673028577457,0.9997735619544983
8,1555,4,0.9996906275151244,0.9986850619316101,0.999998927116394,0.00030636923485385427,0.999961793422699,99.2282958199357,100.0,0.0,0.9998900592327118,0.9999455958604813,0.9996885522531952,0.9997804462909698
9,1537,3,0.9997085260352145,0.9986556768417358,0.9999991059303284,0.0002853473822334572,0.9999604821205139,99.80481457384516,100.0,0.0,0.9999041140079499,0.9999909996986389,0.9997067416645709,0.9998069107532501
